id,微博正文,发布位置,转发数,评论数,点赞数,发布时间
4871732210698861,浙大是不是也开放了想去蹭课听,,0,2,1,2023-02-21 23:55:00
4871731036031474,虾龙圩地铁站🚉直达班车🚌浙大紫金港校区，小吃一条街天虹公寓，浙港国际旁《港湾家园》整租两室两卫120平，随时看房，领包入住#杭州租房#杭州求租L杭州租房猫哥哥的微博视频,杭州·港湾家园,0,0,0,2023-02-21 23:50:00
4871730390632817,有个考浙大量子力学（？）的佬专业课149英语37看完以后感觉我这政治**寄了的人也不是很难受了,,0,0,2,2023-02-21 23:48:00
4871728403318389,📝弟弟考研成绩出来了差了一点就过浙大线（政治1⃣️分英语8⃣️分）但是我觉得他考的已经很不错了走调剂选学校他可能不太满意大概率会二战（24考研的压力可能会更大）他想着自己年轻可以再来一次希望我弟加油啊调剂到他满意的学校,,0,0,0,2023-02-21 23:40:00
4871726947894834,浙江大学浙大704初试专业课课本电子笔记各种资料无偿分享经验有偿辅导！可私看到回复浙江大学体育人文学体育学704,,0,0,0,2023-02-21 23:34:00
4871726562018786,历史学考研有没有浙大中国史的学长学姐？想咨询一些复试相关问题！同考的朋友也可以一起交流！（古代史）浙大考研,,0,0,0,2023-02-21 23:33:00
4871724699226879,在浙大的第一个春天🌸扛着我的“健身器材”到处找角度多年的帕金森因为经常打羽毛球治好了🤩瞧瞧这照片妈妈再也不用担心我糊片了,,0,9,2,2023-02-21 23:25:00
4871723952379116,浙江大学蹲一个土木水利或土木工程的学长学姐，想考浙大研究生，有专业问题想问问,,0,1,0,2023-02-21 23:22:00
4871722207548400,【#中国制造里的高校力量#，浙大人为中国制造交出灿烂答卷】近日，@浙江大学团队成功研制自供电软体机器鱼以及能“独立思考”的微型空中机器人，大幅降低了机器人的重量及经济成本，解决了一系列复杂核心技术，为工业界的机器换人和产业升级带来重大突破。一起为中国制造里的高校力量打call,,0,0,0,2023-02-21 23:15:00
4871721863348803,小美姐，请问有没有浙大法本法硕的统分群啊？有的话能在评论区发一下吗，我去加你？法硕,,0,0,4,2023-02-21 23:14:00
4871720550538133,麻烦宿管阿姨找到了因为提前回家而没领到的去年的粮票，然后凑齐了四年的学生节欢乐套餐。坚持四年没有白嫖过浙大一顿饭看到行程卡第一反应这不是我的手机号啊，然后才反应过来是建校年至今。总之，晚来的一点收集纪念。,,0,2,5,2023-02-21 23:09:00
4871720136086151,浙大蹲风景园林专硕的学长学姐!想问一些复试和选导师方向的问题!有偿有偿!提前感谢!!,,0,0,0,2023-02-21 23:07:00
4871719011485498,杭州租房西湖区地铁2号线三墩地铁紫金上城龙湖天街精装公寓一室一厅一卫民用水电朝南落地窗采光无敌家电家具齐全拎包入住浙大紫金港西湖科技园可押一付一房东直租2000+杭州租房#杭州租房##好房推荐##杭州转租#L杭州租房小松的微博视频,杭州·三墩[地铁站],0,8,1,2023-02-21 23:03:00
4871718914754412,杭州租房西湖区地铁2号线三墩地铁紫金上城龙湖天街精装公寓一室一厅一卫民用水电朝南落地窗采光无敌家电家具齐全拎包入住浙大紫金港西湖科技园可押一付一房东直租杭州租房#杭州租房##好房推荐##杭州转租#L杭州租房小松的微博视频,杭州·三墩[地铁站],0,4,1,2023-02-21 23:02:00
4871718826935939,身边总是有人见不得别人好，总是对别人的生活指手画脚的，真是让人气愤…每个敏感的人都在拼命的不在意别人的言语，我想不到什么好办法，就是离的远点，然后每次都是那万能的两句，关我屁事，关你屁事附上一张美丽的浙大图片，真好,,0,0,5,2023-02-21 23:02:00
4871718274076430,嗯..身边有朋友非法硕考了402分应该是拿到浙大都稳进复试的程度但是他报的浙财..嗯..午夜梦回都要懊恼,,0,4,0,2023-02-21 23:00:00
4871718060167070,请问这位虽然不太认识但看着还不错的180浙大研究生帅哥可以成为我男朋友吗今年总该轮到我脱单了吧🤗,,0,4,3,2023-02-21 22:59:00
4871717934075545,保研各位大佬拜托拜托，我看浙大对六级的要求是460以上，那我生命科学方向六级473是不是压根入不了营啊我6月再考一次还赶得上吗？,,0,9,2,2023-02-21 22:58:00
4871717790941267,浙江大学想考浙大的土木水利，有无直系学长学姐，给孩子一点建议真的很喜欢浙大,,0,1,0,2023-02-21 22:58:00
4871716004692287,担心就业？不存在的！且看2019年浙大管院毕业生“去向”O网页链接,,0,0,0,2023-02-21 22:51:00
